universityId,universityGroupId,name,campusName,emblem,status,fileExists
"seokyeong-university-본교","seokyeong-university-본교","서경대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"sangji-university-본교","sangji-university-본교","상지대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"sangmyung-university-제2캠퍼","sangmyung-university-제2캠퍼","상명대학교 제2캠퍼","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"sangmyung-university-seoul-본교","sangmyung-university-seoul-본교","상명대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"sahmyook-university-본교","sahmyook-university-본교","삼육대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"busan-presbyterian-university-본교","busan-presbyterian-university-본교","부산장신대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"yewon-arts-university-본교","yewon-arts-university-본교","예원예술대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"jesus-university-본교","jesus-university-본교","예수대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"youngsan-university-of-seon-studies-본교","youngsan-university-of-seon-studies-본교","영산선학대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"youngsan-university-제2캠퍼","youngsan-university-제2캠퍼","영산대학교(해운대) 제2캠퍼","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"youngsan-university-본교","youngsan-university-본교","영산대학교(양산)","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"youngnam-theological-university-seminary-본교","youngnam-theological-university-seminary-본교","영남신학대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"yonsei-university-mirae-campus-분교","yonsei-university-mirae-campus-분교","연세대학교(미래) 분교","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"anyang-university-제2캠퍼","anyang-university-제2캠퍼","안양대학교 제2캠퍼","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"anyang-university-본교","anyang-university-본교","안양대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"acts-university-본교","acts-university-본교","아신대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"shinhan-university-제2캠퍼","shinhan-university-제2캠퍼","신한대학교 제2캠퍼","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"shinhan-unvirsity-본교","shinhan-unvirsity-본교","신한대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"silla-university-본교","silla-university-본교","신라대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"singyeongju-university-본교","singyeongju-university-본교","신경주대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"soonchunhyang-university-본교","soonchunhyang-university-본교","순천향대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"sookmyung-womens-university-본교","sookmyung-womens-university-본교","숙명여자대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"the-university-of-suwon-본교","the-university-of-suwon-본교","수원대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"suwon-catholic-university-본교","suwon-catholic-university-본교","수원가톨릭대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"songwon-university-본교","songwon-university-본교","송원대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"sehan-university-본교","sehan-university-본교","세한대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"jeonju-university-본교","jeonju-university-본교","전주대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"jeonju-national-university-of-education-본교","jeonju-national-university-of-education-본교","전주교육대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"presbyterian-university-theological-seminary-본교","presbyterian-university-theological-seminary-본교","장로회신학대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"incheon-national-university-본교","incheon-national-university-본교","인천대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"incheon-catholic-university-제2캠퍼","incheon-catholic-university-제2캠퍼","인천가톨릭대학교 제2캠퍼","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"incheon-catholic-university-본교","incheon-catholic-university-본교","인천가톨릭대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"inje-university-제2캠퍼","inje-university-제2캠퍼","인제대학교 제2캠퍼","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"inje-university-본교","inje-university-본교","인제대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"eulji-university-제3캠퍼","eulji-university-제3캠퍼","을지대학교 제3캠퍼","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"eulji-university-제2캠퍼","eulji-university-제2캠퍼","을지대학교 제2캠퍼","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"eulji-university-본교","eulji-university-본교","을지대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"u1-university-본교","u1-university-본교","유원대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"uiduk-university-본교","uiduk-university-본교","위덕대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"wonkwang-university-본교","wonkwang-university-본교","원광대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"university-of-ulsan-본교","university-of-ulsan-본교","울산대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"woosong-university-본교","woosong-university-본교","우송대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
